,review,date,country,rating,name,type
20,"Singapore is a tourist attraction and it is not too bad to experience it once. Foreigners are carefully scanned and scanned for passports when entering or exiting. There are free drinks in the casino and automatic unattended drinking machines. Overall, it's a typical old casino, and it smells like cigarettes.",2018-01-22,"Taipei, Taiwan",bubble_40,carrie0521,Couple
21,What an amazing view from the tower. Also enjoyed the fireworks display. The BEST chilli crab  at the Seafood restaurant - friendly and helpful staff.,2018-01-21,"Auckland, New Zealand",bubble_40,114trip,Couple
22,"Very grand casino. .minimum bet is SG$5 in roullet. Lots of table games, slot machines. The casino is spread over 2 levels. Foreigners entry is free with physical Pass Port. Soft drinks, Tea & coffee is free through wending machines also robotic service is done for the distribution. Worth visit even if you loose a few dollars....",2018-01-20,"Nainital, India",bubble_50,Bhuwan c T,Couple
23,"One night in Singapore for connecting. It rained and went to the casino! I am going to Las Vegas two years ago, Busan this year and the casino, but the scale is big. I have a passport check. 1F is separate from smoking, 2F is smoking cessation. The customer is China? I wonder if there are more Indian people. There were ten percent of Japan and Westerners. The interior is cold so I was saved such as a hot drink. I'm thankful that drinks are free. I only won this time this time, but I won for the first time! Roulette also changed from 2 dollars and 5 dollars, but I enjoyed it. Also, I do not really need to worry about dress code. Sandals, slippers, shorts etc. were normal.",2018-01-19,N.A.,bubble_40,fumiyon 2014,Couple
24,I like to gamble but when you don’t like it know problem if it’s a rainy day and you have some time left just visit this casino.We never had to wait long to get in.Don’t forget your passport you need it ID cards are not allowed.If you need some cash you have to leave the casino the ATMs are outside and then you have to give your passport again.Staff is very friendly and soft drinks are for free.It’s allowed to smoke in the casino everywhere.The Chinese are so crazy gambler:) it’s fun to look how they gamble and shout around;),2018-01-13,"London, United Kingdom",bubble_50,saschastreule,Couple
25,Pictures are prohibited inside so I couldn't take any. Its a huge casino with multiple floors. I played poker on the lower ground floor and my dealer was very polite and cooperative. I won 350 SGD also. Overall a good place to visit if you are in Singapore. Entry for foreigners is free but passport is required to be shown at the entrance.,2017-12-25,"Mumbai, India",bubble_40,Preeti P,Couple
26,"I am Japanese, but there are not too many Japanese. Entry gates are divided at the entrance. To Singaporeans and foreigners. Foreigners present passports at the entrance, Singaporeans present something cards to the casino. (It seems that Singaporeans need to pay 100 dollars a day in the story of a tour operator (Singaporean)) It is a second visit to the Marina Bay Casino. The casino is a two-tier type, the first floor is smokible, and the second floor is non-smoking. The second floor is an open space at the center. In the casino you get free coffee and water etc. However, there is no alcohol. There are various games such as slot cards, roulette etc. I did not notice the last time, there was a dealer who sticks Hinomaru to the nameplate of the dealer. I wonder if there are a lot of Japanese people, too? The use of Westerners was not seen much. The place I saw many Westerners was the rooftop pool.",2017-12-09,"Sapporo, Japan",bubble_30,zzzuuu,Couple
27,"The casino has an open floor plan and is an immense space. However, to get into the casino, you must queue for a security check which includes showing your passport so they can scan it for information. Why a casino needs your passport to enter is beyond me. Additionally, you must hand it over at the exit as well. Why?As for the casino, it is massive and there are games for all. The slots were the tightest I have ever seen. Not a friendly place and filled with cigarette smoke.",2017-12-09,Los Angeles California,bubble_30,Traveling_Man_1638,Couple
28,"Not bad for a night out , Busy place with lot's of Punters.Glad I read here that you need to take your Passport otherwise your not getting in.Free soft drinks & water was good , It was my Birthday that Day & they gave me a small gift which was a nice touch.Won enough to cover the night which was good , plenty of Tables & Machines to keep you interested.",2017-12-04,Western Australia,bubble_40,Bruce L,Couple
29,"Opinion will doubtless be based on whether you win or lose! But this casino is friendly. Table limits range from $2.50 upwards depending on what you play. There are plenty of tables. Non smoking is upstairs and was just as busy as downstairs when we went along. There is free tea, coffee and soft drinks. Remember if you are not Singaporean you must show your passport to gain entry and at the exit.",2017-11-06,"Devizes, United Kingdom",bubble_30,Rose T,Couple
30,"I need a passport to enter the casino. For non-smokers we recommend a 2F non-smoking floor. It is recommended that you first become a member for enjoying at the casino. Depending on the amount you spend, points are accumulated and cash back etc. are also accepted. The term of validity is one year, but you can also receive hotel special offers! If you make money anyway it will be better if you become a member. Of course there is no annual fee etc.",2017-10-30,"Mino, Japan",bubble_40,TakahiroY121,Couple
31,"Cam here for curiosity only, large and soulless but I appreciate that those who like gambling would like the size and the things I don't like",2017-10-16,"Sydney, Australia",bubble_20,RonWamberal,Couple
32,"From the moment you enter the casino the atmosphere is on fire. So many things to see and do and you hear the machines going off constantly. I was lucky enough to win nearly $9,000 Singapore dollars on my second press of the slot machine. My partner won $1600 on his 8th press. The drinks ladies come around continuously offering hot and cold beverages for free or you can also order alcohol, or drink of choice, through them. WARNING for all foreigners, you MUST have your passport on you to enter this casino and to exit it also.Smoking is fully allowed at Marina Bay Sands so be prepared for a VERY smoky atmosphere. Real downside I did find was lack of restaurants unless you want to navigate the security to go out of the casino. There is one Chinese cuisine restaurant on the bottom floor that was pleasant and had great food for a decent price. DO NOT TAKE PHOTOS IN THE CASINO OR YOU CAN BE ARRESTED!!!",2017-10-05,N.A.,bubble_40,Annette F,Couple
33,"To experience one of the world's largest casino, 15,000 sqm. Fantastic. Extremely many who play, but it seems very few wins.",2017-09-20,N.A.,bubble_40,knows D,Couple
34,"First of all, the entrance from showing your passport! Look for a smoking space, first go urouro. It was quite wide and various people of various races enjoyed it. Some sold snacks and there was a restaurant too. All you can drink without drinks! I have heard quite a lot of air conditioning so it may be nice to have something to wear.",2017-08-16,"Asahikawa, Japan",bubble_30,Compass810932,Couple
35,"I only knew the casinos in Europe. When I arrived in Singapore I did not even want to believe it !!! It's huge. There are several floors and any floor can peek through the balcony into the downstairs room. It's impressive!!! Very, very big !!! The drinks are free, just go to one of the machines and serve yourself whatever you want (without alcohol). To enter, the citizens of Singapore ask to see the citizen's card, the foreigners ask to see the passport. Nothing special. From there you enter and enjoy, and play, if that is the case.",2017-08-15,"Lisbon, Portugal",bubble_50,DayTrip179980,Couple
36,"There are several soft drink drink bar on the wall side. Marina Bay Sands If you are tired of sightseeing, this place is perfect for drinks breaks. You can drink soft drinks with free. There is a toilet and it is beautiful. Because there is a non-smoking floor, we enjoyed a casino a little. I lost. There was a small water PET bottle near the drink bar and brought it to a souvenir. Of course it is free.",2017-07-31,Ichikawa City,bubble_30,Adventure808394,Couple
37,"Its free for the foreign nationals to enter, on showing their passport. I didnt know how to play, so I just took a stroll and had free milo !!!
But the whole place was beautiful, it located in the Marina Bay Sands hotel.",2017-07-12,"Jaipur, India",bubble_50,Gift_Gift_Gift,Couple
38,"Its a must visit for a wonderful experience! So many machines plays, table plays, the ambience, the space everything is just superb! Go for a experience to play in limits :). Photography not allowed inside the casino! Take out time later to stroll in the mall too - has some wonderful eateries and shopping varieties!",2017-06-28,N.A.,bubble_50,MyTreasureBox,Couple
39,If you're in the area it's worth stopping by the casino just to take a look. Has a wide open space on two floors and you can really feel your the size. It's hard for me to believe that there would be a time when all these tables would be full. Many of the games are very complex from an American Standard.You will need passports to get in and get out.,2017-06-24,Sugar Land,bubble_40,Greg W,Couple
40,"It is a giant casino that I knew for the first time It is a smoking area on the first floor and a second floor is a non-smoking area I am playing BJ on the second floor because I do not smoke but since the number is small compared to the first floor, It was hard to sit. I moved to the first floor for a while, but even on the first floor the game table is no smoking so I did not mind that. I am sorry that I do not have alcohol, but the judgment will not get sweet, it may be rather good. Soft drinks are abundant, not to mention water, fanta for coffee, tea, cola, and popular Miro in Singapore.",2017-06-18,Tokyo,bubble_30,nobita0526,Couple
41,I came to this place to see the cool casino conditions in Singapore. The place is quite spacious and there are lots of game machines and facilities in the form of drinks and food to treat guests fully here.,2017-06-12,"Jakarta, Indonesia",bubble_40,Andi_Goh,Couple
42,"Free soft drink and water , but the table limits are really high compared to other casinos around the world. Eg minimum bets for blackjack start at $25. Plus, what is with the smoking indoors?",2017-06-08,"Melbourne, Australia",bubble_30,rollo_100,Couple
43,"Instead of saying a visit in the morning, I also went with a light feeling to try to see it in the gut horses guts. There was no person at Shops, at Marina Bay Sands, but nobody is in line at the entrance and we can not see the attendant. I do not feel like entering into anyone, so I left it here soon.",2017-06-01,"Asaka, Japan",bubble_30,Jijientleman,Couple
44,"No entry fees for foreigners.
I love the non Smoking areas as usually I get annoyed by all the smoking in casinos.
Nice selection of games.
Great fun for an evening in Singapore.",2017-05-29,"Zurich, Switzerland",bubble_50,Rambothepug87,Couple
45,"Were passing, casino standards. Drinks are free in the high-stakes compartment. In the rest only non-alcoholic. It is interesting to see, but the machines are 90% Asian. New roulette, too, had never seen such. Passport required. Backpacks hand over. Only cash, no ATM",2017-05-07,"Moscow, Russia",bubble_50,Russianorchid,Couple
46,"Giving the machine 10 singles dollars, I took off almost 200 ... it was an unreal burst of adrenaline and courage. And now in fact: the casino is huge, there are a lot of people, but it is easy to find the machine you need, there are 2 and 5 cent machines, but you need to look for those who have a small bet, we played 36-40-50 cents one rate. Of course, they lost, but they still went in the black. In the casino it is very cold, it is warm at the machines)) Inside you can pour yourself as much as you want coffee-cola-water ..",2017-04-27,"Vladivostok, Russia",bubble_50,Anastasiia404,Couple
47,"This casino has a very bad vibe, too many compulsive gamblers thinking they are going to hit the big jackpot.  You must pay for drinks even if gambling, unlike in Las Vegas where free drinks are common for gamblers.",2017-04-24,"Jacksonville Beach, Florida",bubble_20,GoingFarFarAway,Couple
48,"Worst casino I have ever been to. Coming from Australia I have been to crown casino many times. We have also travelled to Las Vegas and been to several casino's there. This casino is very quiet and only for serious gamblers. Unfortunately it isn't like a casino in Australia or Las Vegas where there is people drinking and bars ect spread thougout, everyone was very serious, so if that's what your after you will enjoy. I wouldn't go back. If you do go ensure you take your passport as a tourist you need it to get in. Without it they will charge you $100 entry.",2017-04-16,N.A.,bubble_20,TamikaB15,Couple
49,"One of the biggest Asian casinos. We feel the inspiration of Las Vegas behind the scenes of this casino. Some anachronistic security measures make entry difficult, the staff is not particularly friendly, but the grandeur of the space deserves the visit ... and good luck!",2017-04-05,"Porto, Portugal",bubble_30,ruimomp,Couple
50,"The place is huge on 2 levels plus private lounges! You do not pay the entrance but after you must have the means to play. Minimum bets at $ 2.50 for roulette, games known as Chinese! machines everywhere very noisy and some noisy players too. Free non-alcoholic beverage service, no need for a tie or a pretty dress, it's not the Monaco Casino!",2017-04-03,"Ankara, Turkey",bubble_40,MarieClaire40,Couple
51,"Nice to win. We stayed in the black. For tourists admission is free, soft drinks too. A huge casino, many Singaporean grandmothers play in slot machines (and local pay $ 100 per entrance).",2017-03-20,N.A.,bubble_50,Shargo v,Couple
52,Had heard it wa spectacular but i found it too smokey as smoking is the norm and nothing special. Had a meal which was okay but wouldn't recommend it.,2017-03-18,"Melbourne, Victoria, Australia",bubble_20,Rose C,Couple
53,"Marina Bay Casino is very good and kind to visitors. Let me explain.1. Easy access: by mass rail transit. Clean.fast efficient at Bayfront Station. Or Take Taxi.2. Luggage: leave at counter at casino entrance. Free. However, no plastic bag of food.3. Passport: foreigners must bring passport. Singaporeans must pay Sing $100 for 24 hours. Strict. Check for authencity. Will fine you if you use fake I.D.4. Two Floors: lower floor, smoking. Can be quite bad for your clothes and lungs. Do not understand why they ban smoking in all indoors in buildings in Singapore, but here they chain smoke. If you sit next to smoker, good luck yo your lungs. Second floor: smoke free area, but less tables and slot machines about the same.5. All kinds of table games: baccarat, 5 card poker, 3 card poker, Texas holder, black jack, etc. Also localized poker games. Crap. Slot machines: 2 cents, 5, 10 and 20 cents. Fafafa slot machines most popular, with tai Sai or big small. Many Bangladeshi, Indians and locals play this.6. Higher floors: restricted entry, higher stake table games and 50 cents and $1 slots. Higher denomination for higher grade players.7. Lucky draws on weekends and public holidays.8. Have noted that foreign visitors have good luck:- a Mr Singh won more than S$70,000 on slots- a Taiwanese won $25,000 on 3-card poker- baccarat players are big winners9. Note that once win you should stop. Have witnessed those who won $10,000 or more lose all as they continue playing slot machines.10. Drinks: cold and hot drinks freely available, Beer free at premium play areas. 11. Food is most reasonable in restaurants in casino. No children allowed.I wish they have smoking room or areas in Bay Casino like in Casinos in Macau. The players and workers therefore have clean environment and safer medical health clean air. In the long term, some worker or long term visitor will sue the government for allowing smoke induced illness like lung cancer. I like the Macau arrangement where smokers are controlled in smoking rooms. The air quality is superb, no more smelly hair, shirts on leaving the casino.Overall good environment, except for the air quality.",2017-03-18,KL,bubble_40,t c,Couple
54,"There are 2 casinos in Singapore. This one is right downtown, although Singapore is so small, it doesn't really matter and they have an extensive subway system. I went to both but recommend this one as the staff seem more friendly and there are more options for non casino things to do. Also there is no charge for being forced to store your bag here. When we went it was quite busy because of the holidays but they even had someone at the subway gate to help with taking the best route to your destination. Nice touch.",2017-02-27,Beijing,bubble_40,David W,Couple
55,Its a must go place. The experience is beyond imagination. There is no entry fee for foreigners. Its advisable not to carry anything other than ladies purse. There is baggage counter but there is always a long queue. Its not necessary to play if you are inside. a must experience place.,2017-02-17,"New Delhi, India",bubble_50,Debyani S,Couple
56,"I visited here in holiday, supprise because it's very very big place and so much people with lots of games and game machines. It's the first time went to Large casino and unfortunately i saw only. Bring much money if you want to try. Casino welcome foreign customers and remind you can't take pic",2017-02-16,"Hanoi, Vietnam",bubble_40,camvan1412,Couple
57,the place is alway's crowed & if you have locals people you know don't take them with you as they will charge $S50 to let them go inside the casino beware as we where told by a local that we know,2017-02-16,tewantin qld,bubble_50,wingytewantinqld,Couple
58,The casino at the Marina Bay Sands closes early so don't plan on any late night gambling sessions. The casino is clean and has a nice atmosphere but isn't memorable when compared to other casinos around the world.,2017-01-24,"Taipei, Taiwan",bubble_30,1Chad89,Couple
59,Normally do a VEGAS for the slots.  I think the Asian market is different as the slots are not as much fun compared to the USA.  Doubt I'll return next time,2017-01-09,London,bubble_20,BevAlan,Couple
60,I went to Marina Bay Sands Casino. I played sick baud for about 2 hours and won somewhat. Rice had chicken curry at Fatt Choi Express in the casino. $ 9.5. It is quite reasonable in Singapore.,2017-01-05,N.A.,bubble_50,keiichi 2020,Couple
61,"I have visit Singapore 5 times now and recently this is the first time I have entered the Casino due to not having my boys with us this time.  Was very interesting, worth just looking even if you do not gamble.",2016-12-27,"Newcastle, Australia",bubble_50,Linda H,Couple
62,The casino is huge but obviously nothing as compared to your experiences in Macau . If you are a casino Lover its a good option,2016-12-24,"New Delhi, India",bubble_40,vipi0017,Couple
63,"I had not seen anything like it, colossal dimensions, I guess because I do not know Las Vegas, but to date is the wildest thing I've seen. It has several floors and as you go up the level is raised. It is seen that the private rooms are in the highest areas. You have to carry a passport, it is the only way to enter, and only foreigners can enter, the locals have to pay a lot of money for entry. You have juice machines, coffees and soft drinks for free, it was the only benefit that we did because we are not playing. Recommended access through the most hidden areas, the main entrance is usually full.",2016-12-18,Ciudad Real - Spain,bubble_40,Carbonell,Couple
64,"The casino is large, luxurious and quite crowded. Comfortable to play or just look around. Easy access. Simply using the MRT has arrived.",2016-12-14,N.A.,bubble_40,jeanne r,Couple
65,All I can say is everything is dry Normas at the Marina Bay Sands Casino. You can spend days exploring the shops and eateries. It's an amazing treat for all your senses.,2016-12-11,"Norwalk, California",bubble_40,Naninofro,Couple
66,My husband and I visited a casino on the first floor of the hotel. It is huge and it is very difficult for a beginner to figure out exactly what needs to be done. In the hall you can smoke everywhere. Indulged with machine guns and one roulette. Happy preobretennym experience went to sleep,2016-12-02,"Moscow, Russia",bubble_40,Love b,Couple
67,"If you want to confirm what is said about the Chinese, that is, not thinking of tomorrow and casino losing everything that they have, take a look at the casino while visiting Marina Bay Sands. The entrance is free, you do not have to play, but it is definitely even without a visit.",2016-11-20,Slapanice,bubble_50,Michal M,Couple
68,"This casino billows with smoke haze, It requires both entry and exit for tourists by the use of passport--why exiting requires the same difficult procedure one does not know. There is no where to sit and have a drink. There is no area where music is played. You need to queue to cash your money in whereas the Sentosa Casino has money refunding machines. The dress standards are non-existent and don't take your pretty wife there especially if she is nicely dressed as the predominately Asian men will visionally undress her. Give this casino at Marina Bay a wide berth",2016-11-08,Kyabram,bubble_10,petehdefault,Couple
69,"Take your passport and wear appropriate clothing and footwear if you want to gain entry. The casino is expansive covering several floors. It amazed us to see so many tables with patrons playing within the Minimum $50 to Maximum $500,000 limits PER BET. There were other lower stakes tables about starting at$2.50, but this was definately a high roller establishment. Not being gamblers ourselves we took in the grandeur and then headed to ""The Nest"", a small Chinese food restaurant overlooking the gaming. Food and service were excellent.",2016-11-08,Australia,bubble_30,Glenn L,Couple
70,"I went to see once at around 8 o'clock in the evening and two people went by taxi in the evening at around 12 (because the local people pay without paying high money). Since I was a casino beginner, I changed my money a bit and played a roulette. Unlike Macau casino, there were quite a lot of people in general, and it was easy to participate. However, I think that it is better to study minimum rules before going.",2016-11-01,"Hong Kong, China",bubble_40,Wai Wa L,Couple
71,"I am not playing, but since I have visited Singapore 6 times, then there are very few attractions left to visit ... So to do something different I went. You have to enter with a passport (do not forget to take it) no entrance fee is paid. As in all casinos there are different games, different rates ... It is very large has several levels, there are machines that offer tea, coffee, drink, milk with chocolate for free. It's fun to see people play, faces, expressions ... Especially because Asians play very high numbers.",2016-10-06,"Santiago, Chile",bubble_40,Anita_aventurera,Couple
72,"Not particularly spectacular. Lots of tables cramped in. Was eager to play the tables, for black jack, to expensive just for fun, $25 a go. I stuck to the roulette and enjoyed that. A member of our party did really well, but you need to take risks and i couldn'tYou had to be seated at a table to be able to order drinks. There was no where to go to a bar, ensuring you stay at the table and spend. Much better things to do in singapore.",2016-09-26,"Perth, Australia",bubble_30,Angela W,Couple
73,"There is a passport check at the entrance / exit. Backpack can not be brought into. I will show my passport and deposit it. You can deposit it free of charge. Currency exchange from Japanese yen can be done with cashier, but the rate is not very good. The rate displayed at the hotel front deserves better. It is in. Drinks are free, just take the cup and switch on. Slots etc of the machine such as the cashier etc. can play from 2 cents. The Sentosa casino seems more likely to come out.",2016-09-18,Japan,bubble_40,grapepeach,Couple
74,"The casino is huge and it has a lot of tables and slot machines. Betting goes from 0.40 Singapore Dollars and up. Compared to Las Vegas, it is not as exciting. Ground floor is the smoking area, while the first floor is non-smoking (and you do not smell the smoke from downstairs). You get free coffee and tea, as well as soft drinks. Alcohol is expensive - we asked for the price (beer is 12 Singapore Dollars a pint). There is no food at the tables or slot machines. A couple of places sell snacks and there are several restaurants - inexpensive and the food was good.",2016-09-17,"Dubai, United Arab Emirates",bubble_30,AlmanAlmin,Couple
75,"This place is accessible by locals at $100/day pay or by purchase of annual ticket at S$2k price. I could understand why girl at the entrance was staring at me and my passport much longer than at Changi Airport passport control. However I can't understand why this procedure is repeated when you go out.Smoking is permitted in the casino which makes the atmosphere stinky. If somebody decides to sit next to you and blow smoke in your direction, you can't do much except of going somewhere else.",2016-08-24,"Adelaide, Australia",bubble_20,vlen135,Couple
76,"If you got good amount of time and interested in gambling, you must try this casino. This is considered to be world's largest casino after Las Vegas (I am not sure)",2016-08-23,N.A.,bubble_50,Ajay S,Couple
77,It's a great casino to have some fun small they have a smoking and a non smoking levels and water is free. Also the resturants was good as well,2016-08-23,"Perth, Western Australia, Australia",bubble_50,Grant B,Couple
78,"Biggest casino I have ever experienced. Huge smoking section, free coffee, tea, soft drinks all over. Free to foreigners and you can dress casual. Many tables and machines o chaos from, no queues, very relaxed atmosphere",2016-07-27,N.A.,bubble_50,carmensU2924EM,Couple
79,"On the layout plan I'm sure it looked convincing, upper gaming floor smoke free, lower gaming floor smoking. But, hey , what happens to smoke in free air! It rises upwards doesn't it. And that's the end of the story.I wondered why nobody had a beer in hand until I was stung by the price. And don't forget your passport, to get in, tougher than airport immigration!...AND to get out!. Yes that's right. Apparently to thwart a local rort, casino passport checkers scrutinise your exit. Hope there's never a fire stampede.Other than that, there is a broad variety of gaming machines, many culturally attuned to Chinese cultural symbols, ... Yes I did see people with decent credits up, so it is fair.And it's great for people watching.",2016-07-07,batemans,bubble_30,steveBatemans,Couple
80,"Wow!!! It was my first experience in a casino and it was great, though I am not a gambler. Its a multi story casino with large verities of games. The dealers are professional.Soft drinks and bottled water and hot beverages (tea/coffee) are free, whether you are playing or not.The entry is free for foreigners, you must carry your passport with you. And photography is strictly prohibited.",2016-07-06,"Kolkata (Calcutta), India",bubble_50,sudipta s,Couple
81,"Compared to the casinos in Macau, Melbourne and Las Vegas this is a more laid back atmosphre. The self service hot beverage, soft drink and bottled water stations are a good idea.Before you enter the casino prepare for your passport to be scrutinised to a level of intensity that I have only experienced from Russian border guards.One of the levels was non-smoking. Spent about an hour here between looking around and losing money on the slots.",2016-06-25,N.A.,bubble_40,Patrick O,Couple
82,I love going to this casino. I don't gamble but it's so interesting to me to watch all the games that I've never seen before and they are in Chinese. There are normal US games too. But I love walking in and getting a free soft drink/coffee and then watching some people gamble. You'll want to check your bag and bring your ID. If you're a foreigner then bring your passport. This is a good 30 minute visit unless you're a gambler.,2016-06-05,"Singapore, Singapore",bubble_50,John K,Couple
83,"The casino did not like it at all. Too big! This is a huge money-taking machine! A lot of people, especially the Chinese. To get into it you need to defend a huge queue sometimes, at each exit and entrance check a passport, it was a pity even became, all izmusili! Alcohol is not offered to free players, there are only machines with coffee, tea, carbonated drinks. There is no place to eat late in the evening! Restaurants in it are closed very early! There have been many casinos in the world - this is the worst!",2016-06-03,N.A.,bubble_20,Elena С.,Couple
